day,hour,ip,graph_type,colormap,marker,size,score
20170620,15:16:32,179.159.179.25,linearIncrease,YlOrRd,o,100,1
20170620,15:46:12,177.139.217.186,constant,Greys,o,750,1
20170620,15:46:12,177.139.217.186,constant,GnBu,o,750,-1
20170620,15:46:24,177.139.217.186,constant,YlOrRd,o,100,-1
20170620,15:46:24,177.139.217.186,constant,YlOrRd,o,750,1
20170620,15:46:30,177.139.217.186,linearIncrease,GnBu,v,300,-1
20170620,15:46:30,177.139.217.186,linearIncrease,Greys,v,300,1
20170620,15:46:36,177.139.217.186,constant,GnBu,^,750,-1
20170620,15:46:36,177.139.217.186,constant,YlOrRd,^,750,1
20170620,15:46:51,177.139.217.186,linearDecrease,YlOrRd,^,100,-1
20170620,15:46:51,177.139.217.186,linearDecrease,GnBu,^,100,1
20170620,15:46:55,177.139.217.186,constant,YlOrRd,^,300,-1
20170620,15:46:55,177.139.217.186,constant,Greys,^,300,1
20170620,15:47:10,177.139.217.186,linearDecrease,Greys,^,100,1
20170620,15:47:10,177.139.217.186,linearDecrease,Greys,o,100,-1
20170620,15:47:23,177.139.217.186,linearIncrease,Greys,^,100,1
20170620,15:47:23,177.139.217.186,linearIncrease,Greys,v,100,-1
20170620,15:47:31,177.139.217.186,linearDecrease,Greys,^,750,1
20170620,15:47:31,177.139.217.186,linearDecrease,GnBu,^,750,-1
20170620,15:47:37,177.139.217.186,linearIncrease,YlOrRd,v,100,-1
20170620,15:47:37,177.139.217.186,linearIncrease,YlOrRd,^,100,1
20170620,15:47:44,177.139.217.186,linearIncrease,YlOrRd,o,300,1
20170620,15:47:44,177.139.217.186,linearIncrease,YlOrRd,^,300,-1
20170620,15:47:59,177.139.217.186,linearIncrease,Greys,^,750,1
20170620,15:47:59,177.139.217.186,linearIncrease,Greys,^,300,-1
20170620,15:48:04,177.139.217.186,constant,YlOrRd,^,100,-1
20170620,15:48:04,177.139.217.186,constant,YlOrRd,^,750,1
20170620,15:48:09,177.139.217.186,linearDecrease,Greys,o,750,1
20170620,15:48:09,177.139.217.186,linearDecrease,YlOrRd,o,750,-1
20170620,15:48:16,177.139.217.186,linearDecrease,YlOrRd,^,300,1
20170620,15:48:16,177.139.217.186,linearDecrease,YlOrRd,o,300,-1
20170620,15:48:21,177.139.217.186,constant,YlOrRd,o,750,1
20170620,15:48:21,177.139.217.186,constant,YlOrRd,o,100,-1
20170620,15:48:31,177.139.217.186,linearDecrease,GnBu,^,750,1
20170620,15:48:31,177.139.217.186,linearDecrease,YlOrRd,^,750,-1
20170620,15:48:34,177.139.217.186,constant,Greys,v,300,1
20170620,15:48:34,177.139.217.186,constant,Greys,v,100,-1
20170620,15:48:37,177.139.217.186,linearDecrease,Greys,^,750,1
20170620,15:48:37,177.139.217.186,linearDecrease,Greys,^,300,-1
20170620,15:48:41,177.139.217.186,linearDecrease,GnBu,o,750,1
20170620,15:48:41,177.139.217.186,linearDecrease,GnBu,^,750,-1
20170620,15:53:03,177.139.217.186,linearDecrease,Greys,v,300,1
20170620,15:53:03,177.139.217.186,linearDecrease,Greys,v,750,-1
20170620,15:53:15,177.139.217.186,linearDecrease,YlOrRd,v,300,-1
20170620,15:53:15,177.139.217.186,linearDecrease,YlOrRd,^,300,1
20170620,15:53:24,177.139.217.186,linearIncrease,YlOrRd,o,750,-1
20170620,15:53:24,177.139.217.186,linearIncrease,YlOrRd,^,750,1
20170620,15:53:33,177.139.217.186,linearDecrease,GnBu,v,100,1
20170620,15:53:33,177.139.217.186,linearDecrease,GnBu,v,750,-1
20170620,15:53:42,177.139.217.186,constant,GnBu,^,300,1
20170620,15:53:42,177.139.217.186,constant,GnBu,v,300,-1
20170620,15:53:48,177.139.217.186,linearDecrease,Greys,v,100,1
20170620,15:53:48,177.139.217.186,linearDecrease,Greys,v,750,-1
20170620,15:53:52,177.139.217.186,constant,Greys,^,300,-1
20170620,15:53:52,177.139.217.186,constant,YlOrRd,^,300,1
20170620,15:53:56,177.139.217.186,constant,GnBu,v,750,-1
20170620,15:53:56,177.139.217.186,constant,GnBu,v,100,1
